loss,kl,elbo,alpha
5931.4746,107.410355,5932.1577,0.006359300476947535
6722.7817,95.30005,6723.412,0.006613672496025437
6722.009,118.91409,6722.8257,0.006868044515103338
6227.187,122.272285,6228.058,0.0071224165341812395
7074.688,135.99274,7075.6914,0.007376788553259141
5619.496,109.51964,5620.332,0.007631160572337042
6544.802,104.070076,6545.6226,0.007885532591414944
7119.053,115.98169,7119.981,0.008
5522.492,118.70517,5523.442,0.008
7122.821,121.474525,7123.7925,0.008
7127.487,113.49925,7128.395,0.008
6247.876,112.10879,6248.773,0.008
5932.8184,118.37761,5933.765,0.008
6744.1523,101.00113,6744.9604,0.008
6640.584,139.84903,6641.7026,0.008
7106.1504,115.6995,7107.076,0.008
5266.7373,110.172325,5267.6187,0.008
6645.822,163.12042,6647.127,0.008
5992.5615,125.08812,5993.562,0.008
6392.586,125.40784,6393.5894,0.008
7118.5015,142.37463,7119.6406,0.008
6677.3193,147.17976,6678.4966,0.008
5977.4834,135.20235,5978.565,0.008
5342.7295,124.74237,5343.7275,0.008
5135.7617,124.72751,5136.76,0.008
6186.204,141.55608,6187.3364,0.008
7166.978,129.23941,7168.0117,0.008
6508.7363,157.80981,6509.999,0.008
6670.4697,141.12238,6671.5986,0.008
6184.9644,166.72043,6186.2983,0.008
6303.573,153.46945,6304.801,0.008
6640.416,136.34755,6641.507,0.008
6674.784,152.4628,6676.004,0.008
7075.3643,186.66109,7076.8574,0.008
7099.564,183.25566,7101.03,0.008
6618.3945,174.66776,6619.792,0.008
7159.687,154.22643,7160.921,0.008
5002.205,191.17282,5003.7344,0.008
5524.742,173.38808,5526.1294,0.008
6366.948,200.45201,6368.552,0.008
6508.32,177.53989,6509.74,0.008
7088.6025,165.86179,7089.929,0.008
4992.049,229.17459,4993.8823,0.008
6440.778,183.80327,6442.248,0.008
7068.5293,172.47133,7069.909,0.008
6630.9004,203.71474,6632.5303,0.008
7055.2827,162.74966,7056.5845,0.008
6163.6655,178.75894,6165.0957,0.008
6169.7163,197.8831,6171.2993,0.008
7057.635,160.03218,7058.915,0.008
7035.691,205.8947,7037.338,0.008
6386.647,155.08743,6387.8877,0.008
7039.769,210.5357,7041.453,0.008
