loss,kl,elbo,alpha
1429.3154,212.9505,1431.019,0.008
502.59445,189.17375,504.10785,0.008
893.099,213.42516,894.8064,0.008
701.59875,215.30878,703.3212,0.008
1407.0696,219.05513,1408.822,0.008
1230.1646,205.40907,1231.8079,0.008
647.7279,208.17273,649.3933,0.008
1150.3247,213.84584,1152.0355,0.008
722.2574,201.96811,723.8731,0.008
541.6584,181.7026,543.112,0.008
435.27423,190.78096,436.80048,0.008
1714.9485,202.547,1716.5688,0.008
572.1033,183.46384,573.571,0.008
1029.371,196.51071,1030.9431,0.008
1191.4171,191.93896,1192.9526,0.008
529.0704,198.3362,530.65704,0.008
733.0022,209.87961,734.6812,0.008
1003.493,215.6383,1005.2181,0.008
1102.1515,225.77307,1103.9576,0.008
934.5767,204.72186,936.2145,0.008
1432.5173,222.07886,1434.294,0.008
1434.9417,235.25969,1436.8237,0.008
1463.8411,235.89438,1465.7283,0.008
1480.5013,246.38535,1482.4724,0.008
1076.4436,204.98375,1078.0835,0.008
930.65894,205.83414,932.3056,0.008
891.71155,202.96436,893.33527,0.008
628.29425,194.03777,629.84656,0.008
1237.0618,231.07747,1238.9104,0.008
445.76642,210.36043,447.4493,0.008
908.1439,213.0423,909.84827,0.008
1147.2876,247.4992,1149.2676,0.008
907.9247,219.30556,909.67914,0.008
791.40186,221.92162,793.17725,0.008
464.7044,201.85466,466.31924,0.008
1008.5886,225.61646,1010.39355,0.008
1068.5286,218.20113,1070.2742,0.008
1486.2393,237.36789,1488.1382,0.008
1165.617,235.16646,1167.4983,0.008
580.4699,225.10483,582.27075,0.008
1313.3204,232.77676,1315.1826,0.008
181.5473,212.00847,183.24338,0.008
650.64343,206.6177,652.2964,0.008
863.5486,210.84065,865.2353,0.008
1044.7384,211.96573,1046.4341,0.008
724.8312,192.75531,726.3732,0.008
1960.997,237.37332,1962.8959,0.008
1092.4462,221.43513,1094.2177,0.008
411.58798,176.07126,412.99655,0.008
642.073,195.68317,643.6385,0.008
1153.314,201.69955,1154.9276,0.008
898.10645,210.62859,899.7915,0.008
1222.7563,206.1376,1224.4054,0.008
1037.0718,206.83118,1038.7264,0.008
260.12128,190.6638,261.64658,0.008
638.03625,206.3779,639.68726,0.008
454.0454,196.45506,455.61707,0.008
1048.0928,202.91235,1049.7161,0.008
981.5891,204.9047,983.22833,0.008
1146.7104,234.55293,1148.5869,0.008
1384.9052,232.11818,1386.7621,0.008
1261.8302,229.85527,1263.6691,0.008
874.17395,230.16136,876.01526,0.008
680.4894,212.83238,682.192,0.008
1069.3525,217.7603,1071.0946,0.008
1239.8475,234.41064,1241.7228,0.008
1224.0815,221.57059,1225.8541,0.008
568.2897,202.407,569.90894,0.008
1262.1144,230.49649,1263.9584,0.008
904.45374,228.86792,906.28467,0.008
1296.9131,220.75192,1298.6791,0.008
682.0165,217.2532,683.7545,0.008
1013.2942,213.59427,1015.0029,0.008
909.985,205.75146,911.631,0.008
1200.4265,183.60071,1201.8953,0.008
1075.1198,186.55644,1076.6122,0.008
1548.3381,222.68106,1550.1196,0.008
1762.1113,232.7441,1763.9733,0.008
1017.0196,225.25267,1018.8216,0.008
557.74316,199.48907,559.33905,0.008
700.7481,214.84564,702.46686,0.008
433.12766,219.38144,434.88272,0.008
697.0151,190.304,698.53754,0.008
1108.1746,215.72113,1109.9004,0.008
627.7381,217.69687,629.4797,0.008
1020.1273,202.12434,1021.7443,0.008
778.92114,192.42545,780.4606,0.008
902.14246,199.37326,903.7374,0.008
1051.9702,209.67499,1053.6476,0.008
1449.8723,214.19174,1451.5858,0.008
1352.2622,205.07341,1353.9028,0.008
1183.6167,206.95386,1185.2723,0.008
1076.5728,200.73308,1078.1786,0.008
793.033,179.79028,794.4713,0.008
1269.7202,204.1171,1271.3531,0.008
1647.7168,229.27417,1649.551,0.008
1605.2096,205.99707,1606.8575,0.008
840.89087,184.80783,842.3693,0.008
167.9532,166.98822,169.28911,0.008
1545.2963,212.23972,1546.9941,0.008
1014.1637,208.29916,1015.8301,0.008
1402.7605,195.2217,1404.3223,0.008
935.9382,201.68695,937.5517,0.008
1101.7292,207.01276,1103.3854,0.008
2188.5432,213.6242,2190.2522,0.008
1023.5879,196.56235,1025.1604,0.008
1723.2874,196.84297,1724.862,0.008
553.48035,188.01218,554.98444,0.008
401.272,177.39761,402.6912,0.008
960.52216,211.75087,962.2162,0.008
760.02686,195.89426,761.594,0.008
778.0855,210.76219,779.7716,0.008
1516.5884,215.8052,1518.3148,0.008
605.577,179.48407,607.0129,0.008
932.22485,199.90857,933.8241,0.008
591.99243,179.2796,593.4267,0.008
642.04474,174.89139,643.44385,0.008
625.1299,184.09071,626.6026,0.008
1772.7999,216.52916,1774.5321,0.008
1447.5889,215.27892,1449.3112,0.008
263.3613,179.22871,264.79514,0.008
836.1673,199.98639,837.7672,0.008
1038.0667,210.62189,1039.7516,0.008
1549.095,246.05032,1551.0634,0.008
375.2871,197.0703,376.86368,0.008
755.8451,208.03418,757.50934,0.008
858.62415,218.09561,860.3689,0.008
713.8008,197.32065,715.37933,0.008
1569.1785,220.4555,1570.9421,0.008
478.52087,199.15735,480.11414,0.008
2090.0374,240.56152,2091.962,0.008
946.68384,215.83232,948.4105,0.008
809.9297,208.30807,811.5961,0.008
411.9966,187.74338,413.49857,0.008
973.6282,224.27031,975.42236,0.008
990.0304,209.54045,991.7067,0.008
875.46075,189.91905,876.9801,0.008
1118.5486,201.2381,1120.1584,0.008
1171.1272,212.61755,1172.8281,0.008
1348.9962,201.46808,1350.6079,0.008
1185.4658,208.8212,1187.1364,0.008
1755.1367,219.9903,1756.8966,0.008
1284.833,217.23965,1286.5709,0.008
1683.6787,234.72311,1685.5565,0.008
908.5376,196.21774,910.10736,0.008
886.93604,214.36824,888.651,0.008
853.66785,193.92674,855.21924,0.008
151.36687,173.34048,152.75359,0.008
848.70374,194.2658,850.2579,0.008
596.2536,199.47891,597.8494,0.008
1053.0957,225.3924,1054.8988,0.008
1025.1113,211.03629,1026.7996,0.008
769.9812,196.55104,771.5536,0.008
801.18274,200.28154,802.785,0.008
606.4159,189.49191,607.9318,0.008
375.3311,173.55586,376.71954,0.008
1135.1577,204.9272,1136.7971,0.008
1562.3584,215.5321,1564.0826,0.008
1140.307,223.35379,1142.0939,0.008
837.18646,175.17145,838.5878,0.008
911.11456,212.9387,912.81805,0.008
938.0802,191.34337,939.61096,0.008
1009.70013,221.23575,1011.47003,0.008
834.70496,194.6413,836.2621,0.008
175.08792,159.98679,176.36781,0.008
1190.8019,195.37425,1192.3649,0.008
1088.6495,231.67659,1090.5029,0.008
1727.1938,239.64604,1729.111,0.008
371.88187,173.55923,373.27036,0.008
1041.7195,221.22537,1043.4893,0.008
918.87726,195.72536,920.44305,0.008
1382.3411,209.2952,1384.0154,0.008
853.432,185.32635,854.9146,0.008
1277.3544,228.30042,1279.1808,0.008
1697.8372,242.29704,1699.7755,0.008
867.06573,208.87299,868.7367,0.008
1292.5798,226.33087,1294.3905,0.008
636.51404,201.48912,638.126,0.008
948.2521,223.18054,950.03754,0.008
860.12,242.7879,862.0623,0.008
1103.0485,253.71466,1105.0781,0.008
669.8025,215.29726,671.52484,0.008
727.3462,233.60306,729.215,0.008
896.03296,222.91844,897.8163,0.008
591.2967,217.70905,593.0384,0.008
778.5276,233.45058,780.3952,0.008
1470.3307,251.70401,1472.3444,0.008
1425.4214,248.86246,1427.4122,0.008
887.0734,242.02057,889.0096,0.008
1114.0088,251.17604,1116.0182,0.008
602.5216,226.5741,604.3342,0.008
563.11066,236.53027,565.00287,0.008
870.7883,235.03221,872.6686,0.008
529.5036,231.83829,531.35834,0.008
1351.7653,241.5765,1353.6979,0.008
886.59375,233.77156,888.4639,0.008
520.7325,211.7021,522.4261,0.008
1365.7074,255.61653,1367.7523,0.008
906.5464,241.71254,908.4801,0.008
802.08704,223.36371,803.87396,0.008
856.6913,221.84189,858.466,0.008
1065.1147,235.75104,1067.0007,0.008
1159.6257,239.22438,1161.5396,0.008
880.84283,229.86243,882.68176,0.008
776.5952,231.17194,778.4446,0.008
1740.9053,250.74667,1742.9113,0.008
195.63081,192.14777,197.168,0.008
1099.0087,244.76537,1100.9668,0.008
932.27496,237.5095,934.17505,0.008
895.4952,216.32724,897.22577,0.008
1041.1276,221.30325,1042.898,0.008
1124.0131,236.46915,1125.9048,0.008
1289.2847,226.5873,1291.0974,0.008
921.60596,221.58554,923.37866,0.008
662.1742,217.96686,663.9179,0.008
1034.4048,226.31284,1036.2153,0.008
1142.3035,243.27646,1144.2496,0.008
1036.5131,230.03172,1038.3533,0.008
599.6028,222.73325,601.38464,0.008
1698.3639,253.86055,1700.3948,0.008
414.91254,197.59634,416.49332,0.008
956.27734,222.12418,958.0543,0.008
1650.1935,234.61508,1652.0704,0.008
844.8425,207.20874,846.5002,0.008
965.3083,238.93497,967.2198,0.008
1646.0288,245.37738,1647.9918,0.008
1609.8358,233.1448,1611.7009,0.008
601.4921,208.07622,603.15674,0.008
267.76147,204.299,269.39587,0.008
1074.8126,222.70146,1076.5942,0.008
746.7878,212.34573,748.4866,0.008
744.35046,221.18968,746.12,0.008
712.1573,192.89186,713.70044,0.008
1458.4731,249.09178,1460.4658,0.008
371.90515,169.89357,373.2643,0.008
1072.6099,228.54265,1074.4382,0.008
707.5098,219.39435,709.26495,0.008
917.1099,211.36584,918.80084,0.008
794.7672,208.73483,796.4371,0.008
201.51357,155.36678,202.7565,0.008
413.66415,169.37495,415.01917,0.008
1085.2457,194.85193,1086.8046,0.008
589.83154,188.3381,591.33826,0.008
829.30707,205.28394,830.94934,0.008
855.0708,193.56807,856.6193,0.008
1516.1118,210.57635,1517.7964,0.008
1259.1917,220.5805,1260.9563,0.008
559.1753,182.5829,560.636,0.008
1437.4117,230.89372,1439.2589,0.008
1521.4437,229.15189,1523.277,0.008
1121.9763,211.99516,1123.6722,0.008
790.8562,220.5542,792.6206,0.008
470.167,213.46176,471.8747,0.008
1900.1523,249.21649,1902.1461,0.008
1020.52576,234.7074,1022.40344,0.008
939.0058,223.06155,940.7903,0.008
942.16394,220.90584,943.9312,0.008
748.0801,212.47025,749.77985,0.008
1436.5712,245.74704,1438.5371,0.008
926.9232,226.98521,928.7391,0.008
719.57153,212.42001,721.2709,0.008
1422.5685,266.8374,1424.7031,0.008
661.233,233.0142,663.0971,0.008
859.5278,227.02121,861.34393,0.008
821.5547,216.81723,823.28925,0.008
1324.6165,236.82959,1326.5111,0.008
829.33936,210.49341,831.0233,0.008
1117.605,245.34549,1119.5677,0.008
1509.6617,246.36627,1511.6327,0.008
1103.602,219.04437,1105.3544,0.008
748.32404,222.95798,750.1077,0.008
518.5548,192.65216,520.096,0.008
290.49274,203.10558,292.11758,0.008
1133.8478,236.53403,1135.74,0.008
615.3088,188.7081,616.8184,0.008
337.8491,191.50793,339.38116,0.008
1199.802,234.33862,1201.6768,0.008
1306.3123,222.37535,1308.0913,0.008
894.6046,205.97073,896.2524,0.008
852.8368,208.98817,854.50867,0.008
1485.2887,230.05962,1487.1292,0.008
1079.514,225.2635,1081.3162,0.008
980.14996,234.68286,982.0274,0.008
707.1114,212.81847,708.81396,0.008
272.9486,196.25209,274.51862,0.008
1527.2183,231.3475,1529.0691,0.008
945.7444,218.96494,947.4961,0.008
1066.2405,220.5024,1068.0045,0.008
1749.7181,258.83325,1751.7888,0.008
1279.905,239.97784,1281.8248,0.008
787.54956,200.2221,789.15137,0.008
1045.0166,205.78912,1046.663,0.008
887.31885,235.67169,889.2042,0.008
931.4263,223.2677,933.2124,0.008
1278.853,246.5787,1280.8257,0.008
623.5432,222.81116,625.3257,0.008
577.28,204.83188,578.9187,0.008
439.87985,197.53229,441.4601,0.008
1499.2471,250.81122,1501.2535,0.008
857.77246,225.87572,859.57947,0.008
597.744,220.92038,599.51135,0.008
1177.5408,233.11066,1179.4056,0.008
691.92004,209.67749,693.5975,0.008
834.26074,222.8703,836.0437,0.008
1069.3647,244.24135,1071.3187,0.008
492.3266,200.37029,493.92957,0.008
638.6654,207.18167,640.3229,0.008
1221.4282,256.38474,1223.4792,0.008
797.60315,214.66193,799.32043,0.008
1781.4266,271.384,1783.5977,0.008
1090.1311,243.81007,1092.0815,0.008
925.9016,225.99165,927.70953,0.008
591.9886,218.8171,593.73914,0.008
709.19556,217.77025,710.93774,0.008
939.1631,242.17407,941.10046,0.008
1286.0222,267.41592,1288.1615,0.008
724.0633,214.78421,725.78156,0.008
801.0523,223.0641,802.8368,0.008
511.3473,188.77612,512.8575,0.008
344.24866,194.60623,345.8055,0.008
747.09546,223.27147,748.88165,0.008
796.7046,211.70468,798.39825,0.008
944.15106,220.42795,945.9145,0.008
624.2256,203.31863,625.8521,0.008
923.3158,224.46883,925.1116,0.008
1984.4445,263.2975,1986.5508,0.008
825.17883,232.937,827.04236,0.008
1113.347,225.09737,1115.1478,0.008
853.5006,205.10226,855.1414,0.008
531.02454,210.12976,532.70557,0.008
1219.103,243.30853,1221.0494,0.008
1215.0134,225.7288,1216.8192,0.008
1357.6965,239.64392,1359.6136,0.008
733.4079,212.90819,735.11115,0.008
1476.6611,242.42024,1478.6005,0.008
832.0239,200.51657,833.62805,0.008
689.5189,205.91824,691.16626,0.008
1098.9847,252.52324,1101.0049,0.008
871.4504,206.1838,873.09985,0.008
812.1949,230.27924,814.0371,0.008
1177.8385,237.0646,1179.735,0.008
867.2096,212.55681,868.91003,0.008
641.0522,200.40494,642.6554,0.008
823.11584,247.19418,825.0934,0.008
715.682,234.77368,717.5602,0.008
813.64325,223.81631,815.4338,0.008
360.45465,191.30856,361.9851,0.008
687.9748,217.69336,689.7164,0.008
1192.614,272.8438,1194.7968,0.008
96.545456,181.3266,97.99607,0.008
566.04895,206.09958,567.69775,0.008
1475.6676,270.73257,1477.8335,0.008
845.47375,219.38347,847.2288,0.008
1358.7045,254.86688,1360.7434,0.008
967.8802,232.8414,969.7429,0.008
538.95245,186.83755,540.44714,0.008
1504.6846,265.56586,1506.8091,0.008
361.24588,205.10135,362.8867,0.008
1243.3643,249.29709,1245.3586,0.008
1488.5653,256.48163,1490.6172,0.008
882.71533,222.79291,884.4977,0.008
779.0276,215.4727,780.75134,0.008
1522.6077,236.38065,1524.4987,0.008
810.7668,220.17197,812.52814,0.008
1586.1736,269.65186,1588.3308,0.008
811.0375,205.88947,812.6846,0.008
1452.1768,259.85663,1454.2556,0.008
1049.4695,258.31357,1051.536,0.008
876.1241,231.23706,877.974,0.008
433.9231,185.12488,435.40408,0.008
729.10504,231.5829,730.9577,0.008
772.9733,219.59482,774.7301,0.008
1310.6506,271.76666,1312.8247,0.008
902.3862,227.01782,904.2024,0.008
1470.1943,240.9119,1472.1216,0.008
1013.97253,241.01431,1015.90063,0.008
832.0847,224.36734,833.87964,0.008
1025.839,228.34235,1027.6658,0.008
1019.0039,245.45674,1020.9676,0.008
554.8179,203.12047,556.4428,0.008
1270.3783,251.3815,1272.3894,0.008
1049.9022,259.0371,1051.9745,0.008
1405.244,287.4718,1407.5438,0.008
646.9211,204.3332,648.5557,0.008
848.81256,225.47191,850.61633,0.008
886.02924,248.81093,888.0197,0.008
899.96423,236.57224,901.8568,0.008
1185.9731,257.39896,1188.0323,0.008
889.57654,246.23303,891.5464,0.008
1364.1361,266.4638,1366.2678,0.008
733.69135,205.63268,735.3364,0.008
869.2413,216.90268,870.9765,0.008
183.47543,189.26276,184.98953,0.008
759.72546,218.79892,761.4758,0.008
1182.1847,260.80548,1184.2711,0.008
1104.965,244.92546,1106.9243,0.008
503.2872,215.7958,505.01358,0.008
1120.5856,255.21585,1122.6273,0.008
641.7756,210.49352,643.45953,0.008
850.5325,227.03975,852.3488,0.008
1415.7296,260.9293,1417.817,0.008
1507.4432,247.06985,1509.4198,0.008
802.53766,225.74367,804.3436,0.008
1115.5521,223.80327,1117.3425,0.008
586.95526,199.06389,588.5478,0.008
575.2672,207.3051,576.92566,0.008
697.9225,228.90926,699.7538,0.008
475.28735,217.26021,477.02542,0.008
1131.6803,234.16916,1133.5537,0.008
946.36145,247.13673,948.33856,0.008
721.8306,218.6123,723.5795,0.008
1067.804,245.08862,1069.7646,0.008
892.29095,243.51181,894.2391,0.008
624.934,229.74933,626.77203,0.008
818.56976,222.0668,820.3463,0.008
1001.39307,241.20123,1003.3227,0.008
1521.5609,257.2382,1523.6188,0.008
640.03485,206.15942,641.68414,0.008
543.0065,217.87358,544.74945,0.008
1164.036,249.29213,1166.0304,0.008
903.76697,248.42944,905.7544,0.008
333.05936,205.56126,334.70386,0.008
1599.6465,262.75223,1601.7485,0.008
653.6797,216.31303,655.4102,0.008
964.7066,227.63168,966.52765,0.008
678.5698,214.03656,680.2821,0.008
818.0603,228.67119,819.88965,0.008
1642.1172,266.96643,1644.2529,0.008
1084.6069,222.17688,1086.3844,0.008
676.2185,222.56747,677.999,0.008
1175.5867,258.4582,1177.6543,0.008
687.3524,204.25317,688.98645,0.008
101.64252,180.0363,103.08281,0.008
590.7314,204.28528,592.36566,0.008
1216.0792,246.9597,1218.0549,0.008
735.0318,206.57573,736.6844,0.008
1044.0984,245.91803,1046.0657,0.008
895.1061,221.37007,896.877,0.008
314.73206,178.08664,316.15674,0.008
1069.0813,224.7717,1070.8795,0.008
